Book,Author(s),Original language,First published,Genre,Approximate sales,Subjects,Book_Type,Book word common for the dataset,From top 200 words,Majority_Book_Type,Raw Subjects
Dog Days,Jeff Kinney,en-US,2009,['genre fiction'],39744,"american, bestseller, character, children, children, comics, criticism, family, fiction, fiction, friendship, graphic, history, humor, humor, youth, youth, language, large, materials, family, new, novel, education, family, spanish, stories, times, type, american, youth",Fiction,large type books,"american, bestseller, character, child, childrens, comics, criticism, families, ficción, fictitious, friendship, graphic, history, humor, humorous, juvenil, juvenile, language, large, materials, mothers, new, novels, schools, sons, spanish, stories, times, type, york, youth",Fiction,"Clergy, Dogs, Fiction, Spouses of clergy, Theft, Summer, Humorous stories, Diaries, Vacations, Juvenile fiction, Video games, Mothers and sons, Comics & Graphic Novels, Juvenile Wit and humor, Humorous fiction, Friendship, Children's fiction, Diaries, fiction, Summer, fiction, Children's stories, Holidays, Bullying, New York Times bestseller, nyt:series_books=2009-01-10, Child and youth fiction, Literature, history and criticism, Greg Heffley (Fictitious character), Families, Schools, fiction, Friendship, fiction, Juegos con video, Cuentos humorosos, Ficción juvenil, Vacaciones, Diarios íntimos, Spanish language materials, Verano, Heffley, Greg -- Juvenile fiction, Heffley, Greg, Large type books, Summer -- Fiction, Diaries -- Fiction, JUVENILE FICTION -- Humorous Stories, JUVENILE FICTION -- Comics & Graphic Novels -- General, American literature"
The Round House,Louise Erdrich,eng,2012,['genre fiction'],39312,"american, american, bestseller, family, large, life, new, psychology, reviewed, times, type, women, american",Fiction,large type books,"american, americans, bestseller, families, large, life, new, psychology, reviewed, times, type, women, york",Fiction,"Life change events, Ojibwa Indians, Crimes against, Fiction, Indian families, Indian reservations, FICTION / General, Indian women, Native Americans, Verbrechensopfer, Ojibwa, Aufklärung, Indians of North America, Reservations, Native American families, Native American women, Stress (Psychology), Frau, General, Psychisches Trauma, FICTION, Indianerreservat, Victims of crimes, nyt:hardcover-fiction=2012-10-21, New York Times bestseller, Fiction, general, Indians of north america, fiction, North dakota, fiction, Large type books, New York Times reviewed, nyt:trade-fiction-paperback=2013-10-13"
A Wind in the Door,Madeleine L'Engle,eng,1973,['genre fiction'],39312,"family, character, children, children, family, fantasy, fiction, youth, large, reading, science, family, type",Fiction,large type books,"brothers, character, children, childrens, family, fantasy, fictitious, juvenile, large, reading, science, sisters, type",Fiction,"Science fiction, Juvenile literature, Brothers and sisters, Fantasy, Sick, Fiction, Sick children, Murry family (Fictitious characters), Juvenile fiction, Dragons, Gifted children, Angels, Blind, Books and reading, Children's fiction, Fantasy fiction, Murry family (fictitious character), fiction, Large type books, Berufliche Fortbildung, Bevölkerungsentwicklung, Humanvermögen, Organisationsentwicklung, Personalentwicklung, Personalpolitik, Qualifikationsanforderung, Unternehmen, Älterer Arbeitnehmer"
Free Four: Tobias Tells the Divergent Story,Veronica Roth,eng,2012,['nonfiction'],38880,,Unknown,,,Non-Fiction,
A Little Life,Hanya Yanagihara,eng,2015,['genre fiction'],38664,"american, author, book, boys, character, children, children, classic, conduct, domestic, british, family, family, fiction, fiction, friendship, history, history, history, youth, youth, large, life, literature, new, novel, one, orphans, pour, private, roman, education, short, single, stories, type, works",Fiction,large type books,"american, author, book, boys, character, children, childrens, classic, conduct, domestic, england, families, family, fictional, fictitious, friendship, histoire, historical, history, jeunesse, juvenile, large, life, literatura, new, nouvelles, one, orphans, pour, private, romans, schools, short, single, stories, type, works",Fiction,"Louisa May Alcott, Children, Children's, Kid's, Juvenile, History, Historical, Fiction, Classic, Literature, Stories, Book, Hardcover, Paperback, e-books, Families, Family life, Family, Boys, Conduct of life, Children's stories, American, Friendship, Boarding schools, Schools, 1997, Movie tie-in, LITERATURA INFANTIL ESTADOUNIDENSE, Children's fiction, Boarding schools, fiction, Schools, fiction, Family life, fiction, New england, fiction, Orphans, fiction, Large type books, Juvenile fiction, Cousins, Twins, Orphans, Accelerated reader, March family (fictitious characters), fiction, American fiction (fictional works by one author), Fiction, historical, general, Juvenile literature, Fiction, short stories (single author), March family (Fictitious characters), Jo March (Fictitious character), Classic Literature, Romans, Internats, Famille, Famille March (Personnages fictifs), Romans, nouvelles, etc. pour la jeunesse, Histoire, Familles, Domestic fiction, Juvenile works, Family members, Juvenile fiction. @MCOLUMBaNew England, Private schools, Fiction, general"
"Y: The Last Man, Vol. 1: Unmanned","Brian K. Vaughan, Pia Guerra, JosÃ© MarzÃ¡n Jr.",eng,2003,['genre fiction'],38664,"comics, comics, graphic, novel, science, comics",Fiction,science fiction,"comic, comics, graphic, novels, science, strips",Fiction,"Comic books, strips, Graphic novels, Heroes, Plague, Science fiction comic books, strips, Comics & graphic novels, science fiction, general"
The Alloy of Law,Brandon Sanderson,eng,2011,['genre fiction'],38448,"bestseller, epic, fantasy, fantasy, fantasy, new, times, american",Fiction,fantasy,"bestseller, epic, fantasy, imaginary, magic, new, times, york",Fiction,"Imaginary Places, Magic, Fiction, Fantasy, Fiction, fantasy, epic, New York Times bestseller, FICTION / Fantasy / Epic"
Dead Reckoning,Charlaine Harris,eng,2011,['nonfiction'],38448,"detective, mystery, new, reviewed, times, american",Fiction,new york times reviewed,"detective, mystery, new, reviewed, times, york",Non-Fiction,"New York Times reviewed, Yacht racing, Fiction, Fiction, mystery & detective, general"
The Accidental Tourist,"Anne Tyler, Jennifer Bassett",eng,1985,['genre fiction'],38448,"american, art, award, book, children, death, large, library, men, novel, open, picks, psychology, psychology, reading, roman, staff, travel, type, award",Fiction,large type books,"american, art, award, book, children, death, large, library, men, nouvelles, open, picks, psychological, psychology, readers, romans, staff, travel, type, winner",Fiction,"Death, Psychological fiction, Psychology, Open Library Staff Picks, Men, Fiction, Children in fiction, National Book Critics Circle Award Winner, Travel writing in fiction, award:national_book_critics_circle_award=1985, Travel writing, Men in fiction, Children, award:national_book_critics_circle_award=fiction, Large type books, American fiction, Fiction, psychological, Baltimore (md.), fiction, High interest-low vocabulary books, Readers, Hommes, Romans, nouvelles, Psychologie, Enfants, Mort, Voyage, Art d'écrire"
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire SÃ¡enz,,2012,['fiction'],38232,"adult, age, american, american, award, bestseller, book, family, children, coming, family, family, fiction, friendship, youth, youth, education, life, literature, new, reading, relationships, stories, times, award, american, youth",Fiction,childrens fiction,"adult, age, american, americans, award, bestseller, book, brothers, childrens, coming, families, family, ficción, friendship, juvenil, juvenile, levelgrade, life, literary, new, reading, relationships, stories, times, winner, york, young",Fiction,"Mexican-Americans, Coming of age, Homosexuality, Families, Friendship, Fiction, Juvenile fiction, Mexican Americans, Mexican American families, Bildungsromans, Family life, Gay teenagers, Mexican American teenagers, Brothers, Loyalty, Self-perception, Anger, Family relationships, Trust, Prisoners, Reading Level-Grade 7, Reading Level-Grade 9, Reading Level-Grade 8, Reading Level-Grade 11, Reading Level-Grade 10, Reading Level-Grade 12, LGBTQ young adult, Relaciones familiares, Amistad, Juventud mexicano-americana, Ficción juvenil, Hermanos (Varones), Presos, Ira, Familias mexicano-americanas, Familias, Homosexualidad, Adolescentes, Autopercepción, Stonewall Book Awards, Lambda Literary Awards, Lambda Literary Award Winner, Children's fiction, Family, fiction, Mexican americans, fiction, Friendship, fiction, Homosexuality, fiction, Stories in rhyme, collectionID:EanesChallenge, nyt:young-adult-paperback-monthly=2022-01-02, New York Times bestseller, collectionID:bannedbooks, award:Pura_Belpre_award, lexile:380, lexile_range:301-400, lexile_code:HL, age:min:12, age:max:undefined, grade:min:7, grade:max:9"
The Invisible Man,H.G. Wells,eng,1897,['genre fiction'],38016,"adaptations, author, british, century, children, classic, classic, comics, comics, criticism, detective, british, english, fantasy, fiction, french, german, graphic, history, history, horror, irish, youth, youth, language, mystery, one, pour, psychology, reading, reading, roman, science, spanish, stories, comics, tales, education, travel, works",Fiction,childrens fiction,"adaptations, author, british, century, childrens, classic, classics, comic, comics, criticism, detective, england, english, fantasy, fictional, french, german, graphic, historical, history, horror, irish, jeunesse, juvenile, language, mystery, one, pour, psychological, readers, reading, roman, science, spanish, stories, strips, tales, teaching, travel, works",Fiction,"Ciencia-ficción, Classic Literature, Fiction, Mentally ill, Science Fiction & Fantasy, Science fiction, Scientists, English Science fiction, Experiments, Adaptations, Time travel, British and irish fiction (fictional works by one author), England, fiction, Scientists, fiction, Children's fiction, Mystery and detective stories, Literature and fiction, science fiction, Fiction, science fiction, general, English literature, English fiction, history and criticism, 20th century, Wells, h. g. (herbert george), 1866-1946, FICTION / Classics, FICTION / Science Fiction / General, FICTION / Horror, Juvenile fiction, Science, Roman pour la jeunesse, Comic and Graphic Books, Cartoons and comics, Comic books, strips, Animal experimentation, English language, French, Korean, German, Fiction, general, Fiction, historical, general, Elementary education of adults, Reading, remedial teaching, Spanish language, Readers, Horror tales, Psychological fiction, Scientists -- Fiction, Mentally ill -- Fiction, Science -- Experiments -- Fiction, Science -- Experiments"
